timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1778742668013,34,HTTP Request,200,,Baseline 1-1,text,true,,265,122,1,1,http://localhost:8080/health,34,0,2
1778742669049,42,HTTP Request,200,,Baseline 1-1,text,true,,265,122,1,1,http://localhost:8080/health,42,0,0
1778742670092,22,HTTP Request,200,,Baseline 1-1,text,true,,265,122,2,2,http://localhost:8080/health,22,0,0
1778742671010,109,HTTP Request,200,,Baseline 1-2,text,true,,265,122,2,2,http://localhost:8080/health,109,0,1
1778742671115,14,HTTP Request,200,,Baseline 1-1,text,true,,265,122,2,2,http://localhost:8080/health,14,0,0
1778742672120,14,HTTP Request,200,,Baseline 1-2,text,true,,265,122,2,2,http://localhost:8080/health,14,0,0
1778742672130,17,HTTP Request,200,,Baseline 1-1,text,true,,265,122,2,2,http://localhost:8080/health,17,0,0
1778742673135,25,HTTP Request,200,,Baseline 1-2,text,true,,265,122,3,3,http://localhost:8080/health,24,0,0
1778742673148,19,HTTP Request,200,,Baseline 1-1,text,true,,265,122,3,3,http://localhost:8080/health,19,0,0
1778742674012,23,HTTP Request,200,,Baseline 1-3,text,true,,265,122,3,3,http://localhost:8080/health,23,0,1
1778742674161,27,HTTP Request,200,,Baseline 1-2,text,true,,265,122,3,3,http://localhost:8080/health,27,0,0
1778742674167,21,HTTP Request,200,,Baseline 1-1,text,true,,265,122,3,3,http://localhost:8080/health,21,0,0
1778742675189,4499,HTTP Request,200,,Baseline 1-1,text,true,,265,122,5,5,http://localhost:8080/health,4499,0,0
1778742675037,4651,HTTP Request,200,,Baseline 1-3,text,true,,265,122,5,5,http://localhost:8080/health,4651,0,0
1778742677011,2834,HTTP Request,200,,Baseline 1-4,text,true,,265,122,5,5,http://localhost:8080/health,2834,0,1
1778742675189,4656,HTTP Request,200,,Baseline 1-2,text,true,,265,122,5,5,http://localhost:8080/health,4656,0,0
1778742680009,42,HTTP Request,200,,Baseline 1-5,text,true,,265,122,5,5,http://localhost:8080/health,42,0,1
1778742680689,29,HTTP Request,200,,Baseline 1-3,text,true,,265,122,5,5,http://localhost:8080/health,29,0,0
