timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1779083988883,29,HTTP Request,200,,Gradual_Spike 1-1,text,true,,265,122,1,1,http://localhost:8080/health,29,0,1
1779083989413,23,HTTP Request,200,,Gradual_Spike 1-1,text,true,,265,122,1,1,http://localhost:8080/health,23,0,0
1779083989937,21,HTTP Request,200,,Gradual_Spike 1-1,text,true,,265,122,1,1,http://localhost:8080/health,21,0,0
1779083990459,22,HTTP Request,200,,Gradual_Spike 1-1,text,true,,265,122,1,1,http://localhost:8080/health,22,0,0
1779083990982,22,HTTP Request,200,,Gradual_Spike 1-1,text,true,,265,122,1,1,http://localhost:8080/health,22,0,0
1779083991505,138,HTTP Request,200,,Gradual_Spike 1-1,text,true,,265,122,1,1,http://localhost:8080/health,138,0,0
1779083992143,25,HTTP Request,200,,Gradual_Spike 1-1,text,true,,265,122,1,1,http://localhost:8080/health,25,0,0
1779083992668,36,HTTP Request,200,,Gradual_Spike 1-1,text,true,,265,122,1,1,http://localhost:8080/health,36,0,0
1779083993204,50,HTTP Request,200,,Gradual_Spike 1-1,text,true,,265,122,1,1,http://localhost:8080/health,50,0,0
1779083993754,33,HTTP Request,200,,Gradual_Spike 1-1,text,true,,265,122,1,1,http://localhost:8080/health,32,0,0
1779083994288,27,HTTP Request,200,,Gradual_Spike 1-1,text,true,,265,122,1,1,http://localhost:8080/health,27,0,0
1779083994815,25,HTTP Request,200,,Gradual_Spike 1-1,text,true,,265,122,2,2,http://localhost:8080/health,25,0,0
1779083994880,32,HTTP Request,200,,Gradual_Spike 1-2,text,true,,265,122,2,2,http://localhost:8080/health,32,0,1
1779083995341,24,HTTP Request,200,,Gradual_Spike 1-1,text,true,,265,122,2,2,http://localhost:8080/health,24,0,0
1779083995413,26,HTTP Request,200,,Gradual_Spike 1-2,text,true,,265,122,2,2,http://localhost:8080/health,25,0,0
1779083995866,21,HTTP Request,200,,Gradual_Spike 1-1,text,true,,265,122,2,2,http://localhost:8080/health,21,0,0
1779083995940,24,HTTP Request,200,,Gradual_Spike 1-2,text,true,,265,122,2,2,http://localhost:8080/health,24,0,0
1779083996388,21,HTTP Request,200,,Gradual_Spike 1-1,text,true,,265,122,2,2,http://localhost:8080/health,21,0,0
1779083996465,86,HTTP Request,200,,Gradual_Spike 1-2,text,true,,265,122,2,2,http://localhost:8080/health,86,0,0
1779083997052,511,HTTP Request,200,,Gradual_Spike 1-2,text,true,,265,122,2,2,http://localhost:8080/health,511,0,0
1779083996910,653,HTTP Request,200,,Gradual_Spike 1-1,text,true,,265,122,2,2,http://localhost:8080/health,653,0,0
1779083998064,22,HTTP Request,200,,Gradual_Spike 1-1,text,true,,265,122,2,2,http://localhost:8080/health,22,0,0
1779083998064,105,HTTP Request,200,,Gradual_Spike 1-2,text,true,,265,122,2,2,http://localhost:8080/health,105,0,0
1779083998586,31,HTTP Request,200,,Gradual_Spike 1-1,text,true,,265,122,2,2,http://localhost:8080/health,31,0,0
1779083998670,18,HTTP Request,200,,Gradual_Spike 1-2,text,true,,265,122,2,2,http://localhost:8080/health,18,0,0
1779083999117,80,HTTP Request,200,,Gradual_Spike 1-1,text,true,,265,122,2,2,http://localhost:8080/health,80,0,0
1779083999189,79,HTTP Request,200,,Gradual_Spike 1-2,text,true,,262,122,2,2,http://localhost:8080/health,79,0,0
1779083999698,83,HTTP Request,200,,Gradual_Spike 1-1,text,true,,265,122,2,2,http://localhost:8080/health,83,0,0
1779083999769,311,HTTP Request,200,,Gradual_Spike 1-2,text,true,,265,122,2,2,http://localhost:8080/health,311,0,0
1779084000282,37,HTTP Request,200,,Gradual_Spike 1-1,text,true,,265,122,2,2,http://localhost:8080/health,37,0,0
1779084000582,313,HTTP Request,200,,Gradual_Spike 1-2,text,true,,265,122,3,3,http://localhost:8080/health,313,0,0
1779084000820,75,HTTP Request,200,,Gradual_Spike 1-1,text,true,,265,122,3,3,http://localhost:8080/health,75,0,0
1779084000882,132,HTTP Request,200,,Gradual_Spike 1-3,text,true,,265,122,3,3,http://localhost:8080/health,132,0,0
1779084001395,21,HTTP Request,200,,Gradual_Spike 1-2,text,true,,265,122,3,3,http://localhost:8080/health,21,0,0
1779084001395,129,HTTP Request,200,,Gradual_Spike 1-1,text,true,,265,122,3,3,http://localhost:8080/health,129,0,0
1779084001515,341,HTTP Request,200,,Gradual_Spike 1-3,text,true,,265,122,3,3,http://localhost:8080/health,341,0,0
1779084001917,133,HTTP Request,200,,Gradual_Spike 1-2,text,true,,265,122,3,3,http://localhost:8080/health,133,0,0
1779084002025,80,HTTP Request,200,,Gradual_Spike 1-1,text,true,,265,122,3,3,http://localhost:8080/health,80,0,0
1779084002357,217,HTTP Request,200,,Gradual_Spike 1-3,text,true,,265,122,3,3,http://localhost:8080/health,217,0,0
1779084002550,73,HTTP Request,200,,Gradual_Spike 1-2,text,true,,265,122,3,3,http://localhost:8080/health,73,0,0
1779084002605,73,HTTP Request,200,,Gradual_Spike 1-1,text,true,,265,122,3,3,http://localhost:8080/health,73,0,0
1779084003075,66,HTTP Request,200,,Gradual_Spike 1-3,text,true,,265,122,3,3,http://localhost:8080/health,31,0,0
1779084003123,84,HTTP Request,200,,Gradual_Spike 1-2,text,true,,265,122,3,3,http://localhost:8080/health,84,0,0
1779084003179,111,HTTP Request,200,,Gradual_Spike 1-1,text,true,,265,122,3,3,http://localhost:8080/health,111,0,0
1779084003643,58,HTTP Request,200,,Gradual_Spike 1-3,text,true,,265,122,3,3,http://localhost:8080/health,58,0,0
1779084003707,104,HTTP Request,200,,Gradual_Spike 1-2,text,true,,265,122,3,3,http://localhost:8080/health,104,0,0
1779084003792,30,HTTP Request,200,,Gradual_Spike 1-1,text,true,,265,122,3,3,http://localhost:8080/health,30,0,0
1779084004202,45,HTTP Request,200,,Gradual_Spike 1-3,text,true,,265,122,3,3,http://localhost:8080/health,45,0,0
1779084004312,16,HTTP Request,200,,Gradual_Spike 1-2,text,true,,265,122,3,3,http://localhost:8080/health,16,0,0
1779084004322,17,HTTP Request,200,,Gradual_Spike 1-1,text,true,,265,122,3,3,http://localhost:8080/health,17,0,0
1779084004748,22,HTTP Request,200,,Gradual_Spike 1-3,text,true,,265,122,3,3,http://localhost:8080/health,22,0,0
1779084004828,27,HTTP Request,200,,Gradual_Spike 1-2,text,true,,265,122,3,3,http://localhost:8080/health,27,0,0
1779084004841,26,HTTP Request,200,,Gradual_Spike 1-1,text,true,,265,122,3,3,http://localhost:8080/health,26,0,0
1779084005271,21,HTTP Request,200,,Gradual_Spike 1-3,text,true,,265,122,3,3,http://localhost:8080/health,21,0,0
1779084005356,26,HTTP Request,200,,Gradual_Spike 1-2,text,true,,265,122,3,3,http://localhost:8080/health,26,0,0
1779084005368,35,HTTP Request,200,,Gradual_Spike 1-1,text,true,,265,122,3,3,http://localhost:8080/health,35,0,0
1779084005793,22,HTTP Request,200,,Gradual_Spike 1-3,text,true,,265,122,3,3,http://localhost:8080/health,22,0,0
1779084005883,25,HTTP Request,200,,Gradual_Spike 1-2,text,true,,265,122,3,3,http://localhost:8080/health,25,0,0
1779084005903,14,HTTP Request,200,,Gradual_Spike 1-1,text,true,,265,122,3,3,http://localhost:8080/health,14,0,0
1779084006316,27,HTTP Request,200,,Gradual_Spike 1-3,text,true,,265,122,3,3,http://localhost:8080/health,24,0,0
1779084006417,18,HTTP Request,200,,Gradual_Spike 1-1,text,true,,265,122,4,4,http://localhost:8080/health,18,0,0
1779084006408,28,HTTP Request,200,,Gradual_Spike 1-2,text,true,,265,122,4,4,http://localhost:8080/health,27,0,0
