timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1778050199205,31,HTTP Request,200,,Sudden_Load 1-1,text,true,,265,122,6,6,http://localhost:8080/health,31,0,2
1778050199304,28,HTTP Request,200,,Sudden_Load 1-2,text,true,,265,122,7,7,http://localhost:8080/health,28,0,1
1778050199403,29,HTTP Request,200,,Sudden_Load 1-3,text,true,,265,122,8,8,http://localhost:8080/health,28,0,1
1778050199503,25,HTTP Request,200,,Sudden_Load 1-4,text,true,,265,122,9,9,http://localhost:8080/health,25,0,1
1778050199605,19,HTTP Request,200,,Sudden_Load 1-5,text,true,,265,122,10,10,http://localhost:8080/health,19,0,1
1778050199706,18,HTTP Request,200,,Sudden_Load 1-6,text,true,,265,122,11,11,http://localhost:8080/health,18,0,0
1778050199737,21,HTTP Request,200,,Sudden_Load 1-1,text,true,,265,122,11,11,http://localhost:8080/health,21,0,0
1778050199804,26,HTTP Request,200,,Sudden_Load 1-7,text,true,,265,122,12,12,http://localhost:8080/health,24,0,1
1778050199833,19,HTTP Request,200,,Sudden_Load 1-2,text,true,,265,122,12,12,http://localhost:8080/health,19,0,0
1778050199905,26,HTTP Request,200,,Sudden_Load 1-8,text,true,,265,122,13,13,http://localhost:8080/health,26,0,3
1778050199932,15,HTTP Request,200,,Sudden_Load 1-3,text,true,,265,122,13,13,http://localhost:8080/health,15,0,0
1778050200004,19,HTTP Request,200,,Sudden_Load 1-9,text,true,,265,122,14,14,http://localhost:8080/health,18,0,1
1778050200038,20,HTTP Request,200,,Sudden_Load 1-4,text,true,,265,122,14,14,http://localhost:8080/health,20,0,0
1778050200104,26,HTTP Request,200,,Sudden_Load 1-10,text,true,,265,122,15,15,http://localhost:8080/health,26,0,3
1778050200125,34,HTTP Request,200,,Sudden_Load 1-5,text,true,,265,122,15,15,http://localhost:8080/health,34,0,0
1778050200202,33,HTTP Request,200,,Sudden_Load 1-11,text,true,,265,122,16,16,http://localhost:8080/health,33,0,1
1778050200224,20,HTTP Request,200,,Sudden_Load 1-6,text,true,,265,122,16,16,http://localhost:8080/health,20,0,0
1778050200259,18,HTTP Request,200,,Sudden_Load 1-1,text,true,,265,122,16,16,http://localhost:8080/health,17,0,0
1778050200303,19,HTTP Request,200,,Sudden_Load 1-12,text,true,,265,122,17,17,http://localhost:8080/health,18,0,1
1778050200330,20,HTTP Request,200,,Sudden_Load 1-7,text,true,,265,122,17,17,http://localhost:8080/health,20,0,0
1778050200353,22,HTTP Request,200,,Sudden_Load 1-2,text,true,,265,122,17,17,http://localhost:8080/health,22,0,0
1778050200402,36,HTTP Request,200,,Sudden_Load 1-13,text,true,,265,122,18,18,http://localhost:8080/health,36,0,1
1778050200431,24,HTTP Request,200,,Sudden_Load 1-8,text,true,,265,122,18,18,http://localhost:8080/health,24,0,0
1778050200448,18,HTTP Request,200,,Sudden_Load 1-3,text,true,,265,122,18,18,http://localhost:8080/health,18,0,0
1778050200502,40,HTTP Request,200,,Sudden_Load 1-14,text,true,,265,122,19,19,http://localhost:8080/health,40,0,1
1778050200523,19,HTTP Request,200,,Sudden_Load 1-9,text,true,,265,122,19,19,http://localhost:8080/health,19,0,0
1778050200559,21,HTTP Request,200,,Sudden_Load 1-4,text,true,,265,122,19,19,http://localhost:8080/health,21,0,0
1778050200602,30,HTTP Request,200,,Sudden_Load 1-15,text,true,,265,122,20,20,http://localhost:8080/health,30,0,1
1778050200631,18,HTTP Request,200,,Sudden_Load 1-10,text,true,,265,122,20,20,http://localhost:8080/health,16,0,0
1778050200660,19,HTTP Request,200,,Sudden_Load 1-5,text,true,,265,122,20,20,http://localhost:8080/health,19,0,0
